country,population,year
BIH,3894410,2006
BIH,3891845,2007
BIH,3888949,2008
BIH,3886938,2009
BIH,3884899,2010
BIH,3882359,2011
BIH,3879296,2012
BIH,3875723,2013
BIH,3871643,2014
BIH,3867055,2015
BIH,3861912,2016
BIH,3856181,2017
BIH,3849891,2018
BIH,3843037,2019
BLR,10063643,1999
BLR,10033392,2000
BLR,9999484,2001
BLR,9954884,2002
BLR,9904905,2003
BLR,9855646,2004
BLR,9806452,2005
BLR,9763712,2006
BLR,9733327,2007
BLR,9712053,2008
BLR,9696333,2009
BLR,9680068,2010
BLR,9661508,2011
BLR,9643566,2012
BLR,9625888,2013
BLR,9608058,2014
BLR,9589689,2015
BLR,9570376,2016
BLR,9549747,2017
BLR,9527543,2018
BLR,9503591,2019
BLZ,247811,1999
BLZ,252375,2000
BLZ,258448,2001
BLZ,265576,2002
BLZ,273113,2003
BLZ,280671,2004
BLZ,288277,2005
BLZ,295943,2006
BLZ,303639,2007
BLZ,311367,2008
BLZ,319143,2009
BLZ,326920,2010
BLZ,334628,2011
BLZ,342244,2012
BLZ,349766,2013
BLZ,357199,2014
BLZ,364521,2015
BLZ,371729,2016
BLZ,378844,2017
BLZ,385854,2018
BLZ,392771,2019
BOL,8025555,1999
BOL,8195101,2000
BOL,8367448,2001
BOL,8542488,2002
BOL,8719064,2003
BOL,8895965,2004
BOL,9072944,2005
BOL,9249710,2006
BOL,9425936,2007
BOL,9601257,2008
BOL,9775246,2009
BOL,9947418,2010
BOL,10118683,2011
BOL,10290003,2012
BOL,10461053,2013
BOL,10631486,2014
BOL,10800882,2015
BOL,10969649,2016
BOL,11138234,2017
BOL,11306341,2018
BOL,11473676,2019
BRA,171814744,1999
BRA,174315386,2000
BRA,176789957,2001
BRA,179204829,2002
BRA,181553173,2003
BRA,183827544,2004
BRA,186020004,2005
BRA,188131059,2006
BRA,190167417,2007
BRA,192130270,2008
BRA,194019058,2009
BRA,195834188,2010
BRA,197595498,2011
BRA,199321413,2012
BRA,201009622,2013
BRA,202656788,2014
BRA,204259812,2015
BRA,205823665,2016
BRA,207353391,2017
BRA,208846892,2018
BRA,210301591,2019
BRB,272504,1999
BRB,273680,2000
BRB,274906,2001
BRB,276218,2002
BRB,277547,2003
BRB,278818,2004
BRB,280037,2005
BRB,281207,2006
BRB,282359,2007
BRB,283498,2008
BRB,284589,2009
BRB,285653,2010
BRB,286705,2011
BRB,287733,2012
BRB,288725,2013
BRB,289680,2014
BRB,290604,2015
BRB,291495,2016
BRB,292336,2017
BRB,293131,2018
BRB,293874,2019
BRN,317901,1999
BRN,325297,2000
BRN,332654,2001
BRN,339989,2002
BRN,347260,2003
BRN,354305,2004
BRN,361110,2005
BRN,367819,2006
BRN,374577,2007
BRN,381371,2008
BRN,388190,2009
BRN,395027,2010
BRN,401890,2011
BRN,408786,2012
BRN,415717,2013
BRN,422675,2014
BRN,429646,2015
BRN,436620,2016
BRN,443593,2017
BRN,450565,2018
BRN,457533,2019
BTN,595628,1999
BTN,605872,2000
BTN,615980,2001
BTN,625943,2002
BTN,635757,2003
BTN,645415,2004
BTN,654897,2005
BTN,664205,2006
BTN,673353,2007
BTN,682321,2008
BTN,691141,2009
BTN,699847,2010
BTN,708427,2011
BTN,716896,2012
BTN,725296,2013
BTN,733643,2014
BTN,741919,2015
BTN,750125,2016
BTN,758288,2017
BTN,766397,2018
BTN,774410,2019
BWA,1620722,1999
BWA,1654761,2000
BWA,1687937,2001
BWA,1719736,2002
BWA,1750323,2003
BWA,1781586,2004
BWA,1813417,2005
BWA,1845723,2006
BWA,1878406,2007
BWA,1911356,2008
BWA,1944488,2009
BWA,1977723,2010
BWA,2011047,2011
BWA,2044548,2012
BWA,2078313,2013
BWA,2112305,2014
BWA,2146408,2015
BWA,2180597,2016
BWA,2214858,2017
BWA,2249104,2018
BWA,2283255,2019
CAF,3889215,1999
CAF,3979862,2000
CAF,4053927,2001
CAF,4128418,2002
CAF,4214915,2003
CAF,4288752,2004
CAF,4363038,2005
CAF,4448948,2006
CAF,4543731,2007
CAF,4641320,2008
CAF,4741916,2009
CAF,4844927,2010
CAF,4950027,2011
CAF,5057208,2012
CAF,5166510,2013
CAF,5277959,2014
CAF,5391539,2015
CAF,5507257,2016
CAF,5625118,2017
CAF,5745062,2018
CAF,5867019,2019
CAN,30820257,1999
CAN,31099561,2000
CAN,31376736,2001
CAN,31640962,2002
CAN,31889309,2003
CAN,32134763,2004
CAN,32390572,2005
CAN,32674081,2006
CAN,33005953,2007
CAN,33393045,2008
CAN,33802575,2009
CAN,34207013,2010
CAN,34604834,2011
CAN,35009361,2012
CAN,35421674,2013
