country,expectancy,year
BMU,77.88536585,2001
BMU,78.08780488,2002
BMU,78.33414634,2003
BMU,78.48536585,2004
BMU,78.68536585,2005
BMU,78.88780488,2006
BMU,78.93414634,2007
BMU,79.23658537,2008
BMU,79.38843902,2009
BMU,79.28853659,2010
BMU,81.15268293,2011
BMU,81.67780488,2012
BMU,80.57243902,2013
BMU,80.79731707,2014
BMU,81.01219512,2015
BMU,81.22707317,2016
BMU,81.44195122,2017
BMU,81.65170732,2018
BMU,81.86658537,2019
BOL,61.835,1999
BOL,62.452,2000
BOL,63.054,2001
BOL,63.64,2002
BOL,64.21,2003
BOL,64.766,2004
BOL,65.312,2005
BOL,65.853,2006
BOL,66.395,2007
BOL,66.937,2008
BOL,67.476,2009
BOL,68.007,2010
BOL,68.521,2011
BOL,69.01,2012
BOL,69.468,2013
BOL,69.891,2014
BOL,70.277,2015
BOL,70.626,2016
BOL,70.945,2017
BOL,71.239,2018
BOL,71.513,2019
BRA,69.769,1999
BRA,70.116,2000
BRA,70.462,2001
BRA,70.813,2002
BRA,71.17,2003
BRA,71.531,2004
BRA,71.896,2005
BRA,72.26,2006
BRA,72.618,2007
BRA,72.966,2008
BRA,73.3,2009
BRA,73.619,2010
BRA,73.921,2011
BRA,74.209,2012
BRA,74.483,2013
BRA,74.745,2014
BRA,74.994,2015
BRA,75.23,2016
BRA,75.456,2017
BRA,75.672,2018
BRA,75.881,2019
BRB,76.933,1999
BRB,77.162,2000
BRB,77.362,2001
BRB,77.534,2002
BRB,77.682,2003
BRB,77.808,2004
BRB,77.915,2005
BRB,78.009,2006
BRB,78.097,2007
BRB,78.184,2008
BRB,78.272,2009
BRB,78.364,2010
BRB,78.456,2011
BRB,78.547,2012
BRB,78.633,2013
BRB,78.717,2014
BRB,78.801,2015
BRB,78.888,2016
BRB,78.981,2017
BRB,79.081,2018
BRB,79.19,2019
BRN,72.538,1999
BRN,72.809,2000
BRN,73.076,2001
BRN,73.332,2002
BRN,73.575,2003
BRN,73.801,2004
BRN,74.006,2005
BRN,74.189,2006
BRN,74.351,2007
BRN,74.494,2008
BRN,74.623,2009
BRN,74.74,2010
BRN,74.852,2011
BRN,74.962,2012
BRN,75.075,2013
BRN,75.193,2014
BRN,75.318,2015
BRN,75.45,2016
BRN,75.585,2017
BRN,75.722,2018
BRN,75.86,2019
BTN,59.974,1999
BTN,60.884,2000
BTN,61.808,2001
BTN,62.728,2002
BTN,63.624,2003
BTN,64.483,2004
BTN,65.289,2005
BTN,66.031,2006
BTN,66.709,2007
BTN,67.325,2008
BTN,67.882,2009
BTN,68.384,2010
BTN,68.84,2011
BTN,69.263,2012
BTN,69.662,2013
BTN,70.046,2014
BTN,70.419,2015
BTN,70.781,2016
BTN,71.129,2017
BTN,71.46,2018
BTN,71.777,2019
BWA,51.214,1999
BWA,50.629,2000
BWA,50.281,2001
BWA,50.232,2002
BWA,50.518,2003
BWA,51.15,2004
BWA,52.13,2005
BWA,53.435,2006
BWA,54.983,2007
BWA,56.679,2008
BWA,58.447,2009
BWA,60.211,2010
BWA,61.91,2011
BWA,63.511,2012
BWA,64.976,2013
BWA,66.265,2014
BWA,67.338,2015
BWA,68.178,2016
BWA,68.812,2017
BWA,69.275,2018
BWA,69.592,2019
CAN,78.88536585,1999
CAN,79.13658537,2000
CAN,79.33902439,2001
CAN,79.4902439,2002
CAN,79.74146341,2003
CAN,79.89268293,2004
CAN,80.19268293,2005
CAN,80.34390244,2006
CAN,80.54390244,2007
CAN,80.69512195,2008
CAN,80.99512195,2009
CAN,81.24634146,2010
CAN,81.44878049,2011
CAN,81.64878049,2012
CAN,81.74878049,2013
CAN,81.8,2014
CAN,81.9,2015
CAN,81.9,2016
CAN,81.9,2017
CAN,82.04878049,2018
CAN,82.04878049,2019
CHE,79.5804878,1999
CHE,79.6804878,2000
CHE,80.1804878,2001
CHE,80.38536585,2002
CHE,80.53658537,2003
CHE,81.08780488,2004
CHE,81.23658537,2005
CHE,81.4902439,2006
CHE,81.74146341,2007
CHE,81.99268293,2008
CHE,82.04390244,2009
CHE,82.24634146,2010
CHE,82.69512195,2011
CHE,82.69756098,2012
CHE,82.79756098,2013
CHE,83.19756098,2014
CHE,82.89756098,2015
CHE,83.60243902,2016
CHE,83.55121951,2017
CHE,83.75365854,2018
CHE,83.70487805,2019
CHL,76.092,1999
CHL,76.366,2000
CHL,76.634,2001
CHL,76.894,2002
CHL,77.146,2003
CHL,77.391,2004
CHL,77.63,2005
CHL,77.865,2006
CHL,78.099,2007
CHL,78.33,2008
CHL,78.558,2009
CHL,78.779,2010
CHL,78.986,2011
CHL,79.176,2012
CHL,79.349,2013
CHL,79.504,2014
CHL,79.646,2015
CHL,79.779,2016
CHL,79.909,2017
CHL,80.042,2018
CHL,80.181,2019
CHN,71.063,1999
CHN,71.397,2000
CHN,71.732,2001
CHN,72.061,2002
CHN,72.381,2003
CHN,72.689,2004
CHN,72.985,2005
CHN,73.271,2006
CHN,73.553,2007
CHN,73.835,2008
CHN,74.119,2009
CHN,74.409,2010
CHN,74.708,2011
CHN,75.013,2012
CHN,75.321,2013
CHN,75.629,2014
CHN,75.928,2015
CHN,76.21,2016
CHN,76.47,2017
CHN,76.704,2018
CHN,76.912,2019
CIV,49.891,1999
CIV,49.635,2000
CIV,49.495,2001
CIV,49.475,2002
CIV,49.572,2003
CIV,49.788,2004
CIV,50.12,2005
CIV,50.561,2006
CIV,51.091,2007
CIV,51.682,2008
CIV,52.313,2009
CIV,52.964,2010
CIV,53.62,2011
CIV,54.271,2012
CIV,54.906,2013
CIV,55.508,2014
CIV,56.065,2015
CIV,56.567,2016
CIV,57.017,2017
CIV,57.422,2018
CIV,57.783,2019
CMR,50.878,1999
CMR,50.993,2000
CMR,51.222,2001
CMR,51.536,2002
CMR,51.908,2003
CMR,52.321,2004
CMR,52.76,2005
CMR,53.215,2006
CMR,53.681,2007
CMR,54.153,2008
CMR,54.627,2009
CMR,55.101,2010
CMR,55.581,2011
CMR,56.073,2012
CMR,56.576,2013
CMR,57.083,2014
CMR,57.583,2015
CMR,58.063,2016
CMR,58.511,2017
CMR,58.921,2018
CMR,59.292,2019
COD,49.557,1999
COD,50.041,2000
COD,50.667,2001
COD,51.385,2002
COD,52.144,2003
COD,52.917,2004
COD,53.675,2005
COD,54.401,2006
COD,55.091,2007
COD,55.743,2008
COD,56.35,2009
COD,56.909,2010
COD,57.427,2011
COD,57.914,2012
COD,58.381,2013
COD,58.828,2014
COD,59.254,2015
COD,59.655,2016
COD,60.026,2017
COD,60.368,2018
COD,60.681,2019
COG,51.925,1999
COG,52.123,2000
COG,52.517,2001
COG,53.091,2002
COG,53.817,2003
COG,54.667,2004
COG,55.6,2005
COG,56.573,2006
COG,57.541,2007
COG,58.466,2008
COG,59.321,2009
COG,60.093,2010
COG,60.785,2011
COG,61.423,2012
COG,62.022,2013
COG,62.582,2014
COG,63.097,2015
COG,63.556,2016
COG,63.954,2017
COG,64.29,2018
COG,64.57,2019
COL,72.619,1999
COL,72.945,2000
COL,73.241,2001
COL,73.517,2002
COL,73.777,2003
COL,74.026,2004
COL,74.265,2005
COL,74.5,2006
COL,74.732,2007
COL,74.962,2008
COL,75.193,2009
COL,75.424,2010
COL,75.655,2011
COL,75.882,2012
COL,76.105,2013
COL,76.322,2014
COL,76.531,2015
COL,76.732,2016
COL,76.925,2017
COL,77.109,2018
COL,77.287,2019
COM,59.388,1999
COM,59.46,2000
COM,59.529,2001
COM,59.617,2002
COM,59.738,2003
COM,59.904,2004
COM,60.126,2005
COM,60.407,2006
COM,60.734,2007
COM,61.094,2008
COM,61.475,2009
COM,61.862,2010
COM,62.24,2011
COM,62.595,2012
COM,62.922,2013
COM,63.214,2014
COM,63.471,2015
COM,63.7,2016
COM,63.912,2017
COM,64.118,2018
COM,64.321,2019
CPV,68.041,1999
CPV,68.583,2000
CPV,69.099,2001
CPV,69.557,2002
CPV,69.932,2003
CPV,70.219,2004
CPV,70.424,2005
CPV,70.565,2006
CPV,70.676,2007
CPV,70.786,2008
CPV,70.911,2009
CPV,71.062,2010
CPV,71.243,2011
CPV,71.445,2012
CPV,71.661,2013
CPV,71.886,2014
CPV,72.117,2015
CPV,72.347,2016
CPV,72.57,2017
CPV,72.782,2018
CPV,72.981,2019
CRI,77.293,1999
CRI,77.452,2000
CRI,77.601,2001
CRI,77.74,2002
CRI,77.871,2003
CRI,77.996,2004
CRI,78.117,2005
CRI,78.239,2006
CRI,78.362,2007
CRI,78.491,2008
CRI,78.626,2009
CRI,78.769,2010
CRI,78.919,2011
CRI,79.074,2012
CRI,79.234,2013
CRI,79.398,2014
CRI,79.565,2015
CRI,79.738,2016
CRI,79.914,2017
CRI,80.095,2018
CRI,80.279,2019
CUB,76.475,1999
CUB,76.699,2000
CUB,76.905,2001
CUB,77.105,2002
CUB,77.303,2003
CUB,77.499,2004
CUB,77.688,2005
CUB,77.864,2006
CUB,78.019,2007
CUB,78.15,2008
CUB,78.256,2009
CUB,78.338,2010
CUB,78.4,2011
CUB,78.446,2012
CUB,78.485,2013
CUB,78.521,2014
CUB,78.561,2015
CUB,78.607,2016
CUB,78.662,2017
CUB,78.726,2018
CUB,78.802,2019
CUW,,1999
CUW,,2000
CUW,,2001
CUW,,2002
CUW,,2003
CUW,,2004
CUW,,2005
CUW,74.7097561,2006
CUW,75.36341463,2007
CUW,75.3097561,2008
CUW,76.15609756,2009
CUW,,2010
CUW,77.47317073,2011
CUW,77.52439024,2012
CUW,77.82682927,2013
CUW,77.97560976,2014
CUW,78.07560976,2015
CUW,77.7195122,2016
CUW,78.01707317,2017
CUW,,2018
CUW,,2019
CYP,77.875,1999
CYP,78.009,2000
CYP,78.139,2001
CYP,78.264,2002
CYP,78.385,2003
CYP,78.506,2004
